CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,CLASSE,CLASSE,cluster
00017024000153,FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA,FIF,,,0
00068305000135,CAIXA EMPREENDER FIC DE CLASSE DE FIF RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FIF,,,0
00071477000168,BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RESP LIMITADA,FACFIF,,,0
00073041000108,BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FIF RESPONSABILIDADE LIMITADA,FIF,,,0
00083181000167,OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,FITVM,,,0
00089915000115,AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FACFIF,,,0
00102322000141,BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,FITVM,,,0
00180995000110,SAFRA EXECUTIVE MAX FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INV EM COTAS RENDA FIXA RESP LIMITADA,FIF,,,0
00185259000154,OPPORTUNITY LÓGICA II FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,FITVM,,,0
00194256000187,BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,0
00211294000109,BRADESCO FIF - CLASSE DE INVESTIMENTO RF LP EUCALIPTO - RESP LIMITADA,FIF,,,0
00222725000124,SANTANDER CRESCIMENTO CENTRUM RENDA FIXA - CIC FIF RESPONSABILIDADE LIMITADA,FACFIF,,,0
00222816000160,SAFRA EXECUTIVE FIF CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,0
00280302000160,BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA,FIF,,,0
00306278000191,BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA,FACFIF,,,0
00322699000106,BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA,FIF,,,0
00346750000110,NECTON FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FACFIF,,,0
00360293000118,BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIEX,,,0
00398561000190,PORTO ALISIOS FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,FITVM,,,0
00524617000106,CAMBIAL DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FIF,,,0
00539553000117,SAFRA BUILDING BLOCK LIQUIDEZ I FIF CIC MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,,,0
00575922000127,ALFA AÇÕES PREMIUM FIF CLASSE DE INVESTIMENTO EM COTAS EM AÇÕES RESPONSABILIDADE LIMITADA,FI,Ações,Ações Índice Ativo,0
00598452000117,MERCANTIL PLENO RENDA FIXA REFERENCIADO DI LONGO PRAZO  FIF - RESPONSABILIDADE LIMITADA,FIF,,,0
00601692000123,FAMA FI EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO EM AÇÕES RESP LTDA,FIC-FITVM,,,0
00743026000120,BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,FIF,,,0
00756851000169,BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESPONSABILIDADE LIMITADA,FACFIF,,,0
00777815000181,BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA,FACFIF,,,0
00785365000179,ITAÚ MONEY MARKET RENDA FIXA FIF DA CIC RESP LIMITADA,FACFIF,,,0
00793947000105,BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA,FACFIF,,,0
00807777000162,DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO,FIF,,,0
00809773000113,BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA,FACFIF,,,0
00812433000141,BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA,FIF,,,0
00813342000120,SANTANDER MAIS 2 RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FIF,,,0
00817201000186,ITAU RENDA FIXA PLUS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA,FACFIF,,,0
00817677000117,CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA,FIF,,,0
00819858000182,WESTERN ASSET RF ATIVO SILVER FUNDO DE INVESTIMENTO EM COTAS DE FIF RF RESP LIMITADA,FACFIF,,,0
00819875000110,WESTERN ASSET DI RENDA FIXA REFERENCIADO FIF RESPONSABILIDADE LIMITADA,FIF,,,0
00819880000122,WESTERN ASSET CAMBIO DOLAR PRIME FIC DEFI FINANCEIRO CAMBIAL - RESPONSABILIDADE LIMITADA,FACFIF,,,0
00819889000133,CLASSE ÚNICA DO WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL - RESP LIMITADA,FIF,,,0
00819901000100,WESTERN ASSET DI SILVER FUNDO DE INVESTIMENTO EM COTAS DE FIF RF REFERENCIADO RESP LIMITADA,FACFIF,,,0
00819915000123,WESTERN ASSET DI EXCELLENT FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA,FACFIF,,,0
00819929000147,WESTERN ASSET DI PLUS FUNDO DE INVESTIMENTO EM COTAS DE FIF RF RESP LIMITADA,FACFIF,,,0
00822055000187,BB RF IV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESP LIMITADA,FIF,,,0
00822059000165,BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESPONSABILIDADE LIMITADA,FITVM,,,0
00822954000180,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FIF,,,0
00824198000128,BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA,FACFIF,,,0
00825076000156,PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA,FIF,,,0
00825077000109,BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,,,0
00826901000137,CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA,FIF,,,0
00826903000126,CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA,FIF,,,0
00826907000104,ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FIF DA CIC RESP LIMITADA,FACFIF,,,0
00826911000172,GOLDEN DI RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,,,0
