CNPJ,Fundo,Variavel,Valor,Z-Score
04609220000178,FUNDO DE INVESTIMENTO INVESTPREV EXCLUSIVO RENDA FIXA,retorno_medio_diario,403086.11392458447,6.448490068348898
12553726000130,NOME NAO ENCONTRADO,retorno_medio_diario,951473.9120151558,15.230506713491035
19424677000185,VERUM FUNDO DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO,retorno_medio_diario,7439335.957214156,119.12872011413518
27591034000154,NOME NAO ENCONTRADO,retorno_medio_diario,806442.5284368037,12.907938579977015
32006888000166,NOME NAO ENCONTRADO,retorno_medio_diario,392029.1459207592,6.271421071933408
32287638000141,NOME NAO ENCONTRADO,retorno_medio_diario,810767.492825755,12.977199620039661
41251230000100,NOME NAO ENCONTRADO,retorno_medio_diario,402663.8088345404,6.441727171101715
43121053000173,NOME NAO ENCONTRADO,retorno_medio_diario,443572.840451838,7.096854432960335
43584800000100,NOME NAO ENCONTRADO,retorno_medio_diario,802520.8498611755,12.845135857801246
50837199000185,NOME NAO ENCONTRADO,retorno_medio_diario,794759.2666891143,12.720839962000808
50839815000137,BRIO FUNDO DE  INVESTIMENTO MULTIMERCADO,retorno_medio_diario,-6505011.091616266,104.17947221774834
51679169000150,NOME NAO ENCONTRADO,retorno_medio_diario,796794.8480296073,12.753438260644568
54501062000106,NOME NAO ENCONTRADO,retorno_medio_diario,806451.5885570017,12.908083670963107
55813031000153,NOME NAO ENCONTRADO,retorno_medio_diario,2003662.0521383241,32.08050555109589
56002195000163,NOME NAO ENCONTRADO,retorno_medio_diario,406554.7866757811,6.504038244190201
56424558000159,NOME NAO ENCONTRADO,retorno_medio_diario,706489.3785891908,11.307264333116496
45616130000191,CREDIT OPS FUNDO DE INVESTIMENTO MULTIMERCADO,retorno_acumulado,3682589.3726588087,10.066012853102212
51679169000150,NOME NAO ENCONTRADO,retorno_acumulado,60700111.33793152,166.0166438667288
04609220000178,FUNDO DE INVESTIMENTO INVESTPREV EXCLUSIVO RENDA FIXA,volatilidade,6347806.526465871,10.04709460996035
12553726000130,NOME NAO ENCONTRADO,volatilidade,9726357.517587448,15.402190938756643
19424677000185,VERUM FUNDO DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO,volatilidade,91416090.85871015,144.88266711477908
27591034000154,NOME NAO ENCONTRADO,volatilidade,8961967.086675344,14.190611062915982
32006888000166,NOME NAO ENCONTRADO,volatilidade,6260203.5344980415,9.908241456075359
32287638000141,NOME NAO ENCONTRADO,volatilidade,8991775.861644942,14.237858791846254
41251230000100,NOME NAO ENCONTRADO,volatilidade,6328358.548994859,10.01626903028693
43121053000173,NOME NAO ENCONTRADO,volatilidade,6379373.624916651,10.097129330013045
43584800000100,NOME NAO ENCONTRADO,volatilidade,8918849.051021723,14.122267789411929
50837199000185,NOME NAO ENCONTRADO,volatilidade,8832132.733769005,13.984820039359589
50839815000137,BRIO FUNDO DE  INVESTIMENTO MULTIMERCADO,volatilidade,40099581.38242077,63.54458690664507
51679169000150,NOME NAO ENCONTRADO,volatilidade,8394659.019973177,13.291412159813213
54501062000106,NOME NAO ENCONTRADO,volatilidade,8962067.902086593,14.190770858118151
55813031000153,NOME NAO ENCONTRADO,volatilidade,14025791.691125866,22.216912462605443
56002195000163,NOME NAO ENCONTRADO,volatilidade,6376562.749090775,10.092674014448649
56424558000159,NOME NAO ENCONTRADO,volatilidade,8738791.15278222,13.83687106390238
53755078000182,NOME NAO ENCONTRADO,max_drawdown,-29951.172767931705,134.99600146966827
55072270000108,NOME NAO ENCONTRADO,max_drawdown,-6879.2174048436655,30.99683811130559
55072295000101,NOME NAO ENCONTRADO,max_drawdown,-6879.47253192608,30.997988122334284
55072895000161,NOME NAO ENCONTRADO,max_drawdown,-6888.49438164937,31.038655018936733
56992708000120,NOME NAO ENCONTRADO,max_drawdown,-1590.9382348204083,7.15938694460637
