CNPJ,Fundo,Variavel,Valor,Z-Score
04609220000178,FUNDO DE INVESTIMENTO INVESTPREV EXCLUSIVO RENDA FIXA,retorno_medio_diario,403086.11392458447,6.4485
12553726000130,NOME NAO ENCONTRADO,retorno_medio_diario,951473.9120151558,15.2305
19424677000185,VERUM FUNDO DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO,retorno_medio_diario,7439335.957214156,119.1287
27591034000154,NOME NAO ENCONTRADO,retorno_medio_diario,806442.5284368037,12.9079
32006888000166,NOME NAO ENCONTRADO,retorno_medio_diario,392029.1459207592,6.2714
32287638000141,NOME NAO ENCONTRADO,retorno_medio_diario,810767.492825755,12.9772
41251230000100,NOME NAO ENCONTRADO,retorno_medio_diario,402663.8088345404,6.4417
43121053000173,NOME NAO ENCONTRADO,retorno_medio_diario,443572.840451838,7.0969
43584800000100,NOME NAO ENCONTRADO,retorno_medio_diario,802520.8498611755,12.8451
50837199000185,NOME NAO ENCONTRADO,retorno_medio_diario,794759.2666891143,12.7208
50839815000137,BRIO FUNDO DE  INVESTIMENTO MULTIMERCADO,retorno_medio_diario,-6505011.091616266,-104.1795
51679169000150,NOME NAO ENCONTRADO,retorno_medio_diario,796794.8480296073,12.7534
54501062000106,NOME NAO ENCONTRADO,retorno_medio_diario,806451.5885570017,12.9081
55813031000153,NOME NAO ENCONTRADO,retorno_medio_diario,2003662.0521383241,32.0805
56002195000163,NOME NAO ENCONTRADO,retorno_medio_diario,406554.7866757811,6.504
56424558000159,NOME NAO ENCONTRADO,retorno_medio_diario,706489.3785891908,11.3073
45616130000191,CREDIT OPS FUNDO DE INVESTIMENTO MULTIMERCADO,retorno_acumulado,3682589.3726588087,10.066
51679169000150,NOME NAO ENCONTRADO,retorno_acumulado,60700111.33793152,166.0166
04609220000178,FUNDO DE INVESTIMENTO INVESTPREV EXCLUSIVO RENDA FIXA,volatilidade,6347806.526465871,10.0471
12553726000130,NOME NAO ENCONTRADO,volatilidade,9726357.517587448,15.4022
19424677000185,VERUM FUNDO DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO,volatilidade,91416090.85871015,144.8827
27591034000154,NOME NAO ENCONTRADO,volatilidade,8961967.086675344,14.1906
32006888000166,NOME NAO ENCONTRADO,volatilidade,6260203.5344980415,9.9082
32287638000141,NOME NAO ENCONTRADO,volatilidade,8991775.861644942,14.2379
41251230000100,NOME NAO ENCONTRADO,volatilidade,6328358.548994859,10.0163
43121053000173,NOME NAO ENCONTRADO,volatilidade,6379373.624916651,10.0971
43584800000100,NOME NAO ENCONTRADO,volatilidade,8918849.051021723,14.1223
50837199000185,NOME NAO ENCONTRADO,volatilidade,8832132.733769005,13.9848
50839815000137,BRIO FUNDO DE  INVESTIMENTO MULTIMERCADO,volatilidade,40099581.38242077,63.5446
51679169000150,NOME NAO ENCONTRADO,volatilidade,8394659.019973177,13.2914
54501062000106,NOME NAO ENCONTRADO,volatilidade,8962067.902086593,14.1908
55813031000153,NOME NAO ENCONTRADO,volatilidade,14025791.691125866,22.2169
56002195000163,NOME NAO ENCONTRADO,volatilidade,6376562.749090775,10.0927
56424558000159,NOME NAO ENCONTRADO,volatilidade,8738791.15278222,13.8369
53755078000182,NOME NAO ENCONTRADO,max_drawdown,-29951.172767931705,-134.996
55072270000108,NOME NAO ENCONTRADO,max_drawdown,-6879.2174048436655,-30.9968
55072295000101,NOME NAO ENCONTRADO,max_drawdown,-6879.47253192608,-30.998
55072895000161,NOME NAO ENCONTRADO,max_drawdown,-6888.49438164937,-31.0387
56992708000120,NOME NAO ENCONTRADO,max_drawdown,-1590.9382348204083,-7.1594
60711897000193,NOME NAO ENCONTRADO,max_drawdown,-18164.435540000006,-81.8661
00083181000167,OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,pl_medio,23734654957.03265,6.6099
00822055000187,BB RF IV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESP LIMITADA,pl_medio,133458635489.37328,37.7806
00852311000189,BB TOP DI RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,pl_medio,35502134248.10187,9.9529
01129004000137,ITAÚ EMPRESA TRUST RF REFERENCIADO DI FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,pl_medio,38000204760.762085,10.6625
01597187000115,SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,127630780311.20137,36.125
01608572000110,BB TOP RF MODERADO FIF RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILIDADE LIMITADA,pl_medio,12055729416.49992,3.2921
01608573000165,BB TOP RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,69226794275.51155,19.5334
01624316000117,ITAÚ RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,22752004316.771008,6.3308
01630558000113,SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA,pl_medio,65915335165.21424,18.5927
01912197000106,FPRV1 SABIÁ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,pl_medio,12392624705.876024,3.3878
02224382000162,SANTANDER  EQUILÍBRIO RENDA FIXA REF DI CRÉDITO PRIVADO - FIF RESP LIMITADA,pl_medio,12338112474.76336,3.3724
02266145000164,BB EXTRAMERCADO EXCLUSIVO FAT FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,57334559217.13301,16.1551
02506721000101,BB RENDA FIXA SIMPLES SOLIDEZ DIFERENCIADO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,pl_medio,19372486030.71363,5.3707
02513875000112,FUNDO DE INVESTIMENTO FINANCEIRO TESOURO RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,40046543807.260086,11.2438
03069104000140,SANTANDER PREMIUM RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,pl_medio,14095775766.751406,3.8717
03256793000100,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA,pl_medio,11587952624.09494,3.1593
03298200000160,BB RENDA FIXA LONGO PRAZO CORPORATE FIC FIF CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,pl_medio,15953155644.549759,4.3993
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,pl_medio,104648317912.8053,29.5961
03399411000190,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADA DI PREMIUM - RESP LIMITADA,pl_medio,19503407473.588116,5.4079
03504023000121,BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,pl_medio,30739852943.963497,8.6
03537407000140,BRASILPREV RT FIX II FIC FIF RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,34420592797.19605,9.6456
03737206000197,NOME NAO ENCONTRADO,pl_medio,24259625811.003094,6.7591
03737219000166,NOME NAO ENCONTRADO,pl_medio,52948989184.10257,14.9092
03958061000154,FRG PLANO BD FI FINANCEIRO - CI MULT - RESP LIMITADA,pl_medio,15625641426.675219,4.3063
04118854000128,PETROS LIQUIDEZ FI FINANCEIRO - CI RF - RESP LIMITADA,pl_medio,17087245017.05076,4.7215
04128562000176,BB RENDA FIXA REFERENCIADO DI LONGO PRAZO PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,pl_medio,17355717035.3539,4.7978
04150666000187,CAIXA MASTER LIQUIDEZ FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESP LIMITADA,pl_medio,13412627917.213013,3.6776
04160232000168,BB MILENIO 32 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,13658567134.14908,3.7475
04237569000126,BRADESCO FIF - CLASSE DE  INVESTIMENTO EM COTAS RENDA FIXA REFERENCIADA DI SAFIRA - RESP LTDA,pl_medio,11815152991.013655,3.2238
04253078000179,BRAM FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI RUBI - RESP LIMITADA,pl_medio,14228673258.928152,3.9094
04700351000166,ITAÚ RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,11998968732.369358,3.276
04857834000179,BB RENDA FIXA LONGO PRAZO TESOURO SELIC FIC FIF RESPONSABILIDADE LIMITATA,pl_medio,15397799813.50964,4.2416
04934357000106,BB ATACADO FEDERAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,pl_medio,16394932101.550285,4.5248
05061121000167,BRASILPREV RT FIX C FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RENDA FIXA RESP LIMITADA,pl_medio,13020919270.037241,3.5663
05164356000184,NOME NAO ENCONTRADO,pl_medio,11281175375.609116,3.0721
05164375000100,CAIXA MASTER CONSERVADOR FIF RENDA FIXA REFERENCIADO DI LONGO PRAZO - RESPONSABILIDADE LIMITADA,pl_medio,14060649520.417751,3.8617
05592116000180,LAWTON EXCLUSIVO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,pl_medio,13743180326.621134,3.7715
05754101000171,FIF CIC PREVIDENCIÁRIO MULTIMERCADO ELETROPAULO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,pl_medio,11818700492.620396,3.2248
05786938000100,NOME NAO ENCONTRADO,pl_medio,14079612108.598715,3.8671
05832360000173,BB ATACADO MISTO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESP LIM,pl_medio,17263977092.4014,4.7717
05943661000174,BB RENDA FIXA REFERENCIADO DI PLUS ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,pl_medio,38436025991.63236,10.7863
06001785000101,NOME NAO ENCONTRADO,pl_medio,29083671695.35553,8.1295
06006188000161,BB TOP DI C RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,51105264313.80661,14.3854
06066907000130,ITAÚ RENDA FIXA CRED PRIV MASTER ACTIVE FIX FIF RESPONSABILIDADE LIMITADA,pl_medio,14768445704.278273,4.0628
